"date","country","region","city","sessions","users","newUsers"
"20170210","Poland","Lower Silesian Voivodeship","Wroclaw",5,3,1
"20170210","Poland","Masovian Voivodeship","Warsaw",3,3,3
"20170210","Slovenia","Ljubljana","Ljubljana",1,1,1
"20170210","United States","(not set)","(not set)",5,1,0
"20170211","Denmark","Capital Region of Denmark","Lyngby",3,3,1
"20170211","Poland","Lesser Poland Voivodeship","Krakow",1,1,0
"20170211","Poland","Lower Silesian Voivodeship","Wroclaw",2,2,2
"20170211","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170212","Denmark","Capital Region of Denmark","Lyngby",1,1,1
"20170212","Poland","Lower Silesian Voivodeship","Wroclaw",3,3,2
"20170213","Denmark","Capital Region of Denmark","Lyngby",1,1,0
"20170213","Germany","(not set)","(not set)",2,1,0
"20170213","Poland","Lower Silesian Voivodeship","Wroclaw",10,9,6
"20170214","Denmark","Capital Region of Denmark","Lyngby",3,2,0
"20170214","Poland","Lower Silesian Voivodeship","Wroclaw",3,3,2
"20170214","Poland","Warmian-Masurian Voivodeship","Szczytno",1,1,1
"20170216","Denmark","Capital Region of Denmark","Lyngby",1,1,0
"20170216","Poland","Lower Silesian Voivodeship","Wroclaw",2,2,2
"20170216","United States","(not set)","(not set)",2,1,0
"20170217","Denmark","Capital Region of Denmark","Lyngby",3,2,2
"20170217","Poland","Lower Silesian Voivodeship","Wroclaw",3,3,3
"20170217","United Kingdom","England","London",2,1,1
"20170219","Denmark","Capital Region of Denmark","Lyngby",6,4,1
"20170219","Poland","Lodz Voivodeship","Lodz",2,1,1
"20170220","Denmark","Capital Region of Denmark","Lyngby",3,3,1
"20170220","Germany","Berlin","Berlin",1,1,1
"20170220","United States","Georgia","Macon",1,1,1
"20170221","Denmark","Capital Region of Denmark","Lyngby",4,3,0
"20170221","Poland","Lower Silesian Voivodeship","Wroclaw",1,1,1
"20170221","Poland","Masovian Voivodeship","Warsaw",4,4,4
"20170222","Denmark","Capital Region of Denmark","Lyngby",1,1,1
"20170222","Poland","Lower Silesian Voivodeship","Karpacz",2,1,1
"20170223","Denmark","Capital Region of Denmark","Lyngby",1,1,0
"20170223","Poland","Lower Silesian Voivodeship","Wroclaw",1,1,1
"20170223","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170224","Denmark","Capital Region of Denmark","Lyngby",2,1,0
"20170224","Poland","Lodz Voivodeship","Lodz",1,1,1
"20170225","Poland","Lower Silesian Voivodeship","Wroclaw",1,1,1
"20170226","Poland","Lower Silesian Voivodeship","Wroclaw",8,7,7
"20170226","Poland","Silesian Voivodeship","Katowice",1,1,1
"20170226","United States","California","San Francisco",1,1,1
"20170226","United States","North Carolina","(not set)",1,1,1
"20170227","Poland","Lesser Poland Voivodeship","Krakow",1,1,0
"20170227","Poland","Lower Silesian Voivodeship","Wroclaw",10,10,9
"20170227","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170228","Poland","Lower Silesian Voivodeship","Wroclaw",8,7,5
"20170228","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170228","United Kingdom","England","London",1,1,0
"20170301","Poland","Greater Poland Voivodeship","Poznan",2,2,2
"20170301","Poland","Lesser Poland Voivodeship","Krakow",4,3,3
"20170301","Poland","Lower Silesian Voivodeship","Wroclaw",37,28,19
"20170301","Poland","Masovian Voivodeship","Warsaw",7,6,4
"20170301","United States","(not set)","(not set)",1,1,1
"20170302","Poland","Lesser Poland Voivodeship","Krakow",1,1,1
"20170302","Poland","Lower Silesian Voivodeship","Wroclaw",18,13,5
"20170302","Poland","Masovian Voivodeship","Warsaw",1,1,0
"20170302","Poland","Silesian Voivodeship","Czestochowa",1,1,0
"20170302","Spain","Catalonia","Sant Cugat del Valles",1,1,0
"20170303","Poland","Lower Silesian Voivodeship","Wroclaw",13,11,5
"20170303","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170303","Spain","Catalonia","Sant Cugat del Valles",2,1,0
"20170304","Poland","Lower Silesian Voivodeship","Wroclaw",4,4,1
"20170304","Poland","Silesian Voivodeship","Ruda Slaska",1,1,1
"20170305","Poland","Lower Silesian Voivodeship","Strzegom",1,1,0
"20170305","Poland","Lower Silesian Voivodeship","Wroclaw",1,1,0
"20170306","Poland","Lower Silesian Voivodeship","Strzegom",1,1,0
"20170306","Poland","Lower Silesian Voivodeship","Wroclaw",4,4,3
"20170306","Poland","Silesian Voivodeship","Czestochowa",1,1,0
"20170306","Spain","Catalonia","Sant Cugat del Valles",3,1,0
"20170307","Poland","Lower Silesian Voivodeship","Strzegom",1,1,0
"20170307","Poland","Lower Silesian Voivodeship","Wroclaw",8,8,5
"20170307","Spain","Catalonia","Sant Cugat del Valles",1,1,0
"20170307","United States","(not set)","(not set)",1,1,0
"20170308","Germany","Berlin","Berlin",2,2,0
"20170308","Poland","Lower Silesian Voivodeship","Wroclaw",3,2,0
"20170308","Spain","Catalonia","Sant Cugat del Valles",2,1,0
"20170309","Poland","Lower Silesian Voivodeship","Wroclaw",3,3,3
"20170310","Poland","Masovian Voivodeship","Warsaw",2,2,0
"20170311","Germany","Berlin","Berlin",2,2,0
"20170311","Poland","Lower Silesian Voivodeship","Wroclaw",1,1,0
"20170311","Poland","Masovian Voivodeship","Warsaw",1,1,0
"20170312","Germany","Berlin","Berlin",2,2,0
"20170312","Poland","Lower Silesian Voivodeship","Trzebnica",2,2,1
"20170312","Poland","Lower Silesian Voivodeship","Wroclaw",12,7,5
"20170313","Poland","Lower Silesian Voivodeship","Wroclaw",2,2,1
"20170313","Poland","Masovian Voivodeship","Warsaw",2,2,2
"20170314","Poland","Lower Silesian Voivodeship","Wroclaw",2,2,2
"20170315","Germany","Berlin","Berlin",2,2,2
"20170315","Poland","Lower Silesian Voivodeship","Wroclaw",6,6,4
"20170315","Poland","Masovian Voivodeship","Warsaw",2,2,2
"20170316","Poland","Lesser Poland Voivodeship","Krakow",2,2,2
"20170316","Poland","Lower Silesian Voivodeship","Wroclaw",45,29,14
"20170317","Poland","Greater Poland Voivodeship","Poznan",1,1,1
"20170317","Poland","Lower Silesian Voivodeship","Legnica",2,2,2
"20170317","Poland","Lower Silesian Voivodeship","Wroclaw",6,6,3
"20170317","Poland","Masovian Voivodeship","Warsaw",2,2,2
"20170317","Poland","Silesian Voivodeship","Katowice",1,1,1
"20170318","Poland","Lower Silesian Voivodeship","Wroclaw",1,1,1
